66,5;66,5;68,5;50,5;63,00;252,00
63;81,5;70,5;57;68,00;272,00
68;87,5;83;49;71,88;287,50
75,5;79,5;78;51;71,00;284,00
65,5;85,5;68;59;69,50;278,00
95,5;89,5;90,5;61;84,13;336,50
58;83,5;63;65;67,38;269,50
70,5;77,5;75,5;53;69,13;276,50
88;79,5;88;63;79,63;318,50
80,5;81,5;83;59;76,00;304,00
90;93,5;80,5;53;79,25;317,00
48;75,5;80,5;68,5;68,13;272,50
73;81,5;63;56,5;68,50;274,00
70,5;79,5;63;52,5;66,38;265,50
93;77,5;78;48,5;74,25;297,00
88;81,5;80,5;64,5;78,63;314,50
86;89,5;83;57;78,88;315,50
88;61,5;60,5;53;65,75;263,00
85,5;77,5;55,5;71;72,38;289,50
90,5;83,5;78;57;77,25;309,00
75,5;81,5;73;45;68,75;275,00
95,5;87,5;85,5;77;86,38;345,50
88;77,5;78;83;81,63;326,50
98;81,5;78;69;81,63;326,50
85,5;91,5;80,5;77;83,63;334,50
85,5;93,5;65,5;51;73,88;295,50
85,5;91,5;90,5;47;78,63;314,50
95,5;87,5;83;88,5;88,63;354,50
90;87,5;93;80,5;87,75;351,00
93;89,5;85,5;90,5;89,63;358,50
60,5;81,5;85,5;54,5;70,50;282,00
90,5;85,5;90,5;60;81,63;326,50
85,5;85,5;58;62,5;72,88;291,50
75,5;87,5;60,5;55;69,63;278,50
78;91,5;78;64,5;78,00;312,00
73;83,5;68;45;67,38;269,50
80,5;79,5;83;66,5;77,38;309,50
53;75,5;63;65;64,13;256,50
88;85,5;75,5;50,5;74,88;299,50
75,5;87,5;78;62,5;75,88;303,50
63;89,5;88;60;75,13;300,50
55,5;79,5;70,5;50,5;64,00;256,00
68;79,5;75,5;55;69,50;278,00
65,5;83,5;70,5;48,5;67,00;268,00
75,5;75,5;73;54;69,50;278,00
88;93,5;83;54,5;79,75;319,00
75,5;91,5;70,5;68;76,38;305,50
73;85,5;60,5;52,5;67,88;271,50
68;75,5;68;54,5;66,50;266,00
50,5;89,5;58;55;63,25;253,00
58;83,5;73;44,5;64,75;259,00
95,5;87,5;93;70;86,50;346,00
75,5;75,5;68;42,5;65,38;261,50
60,5;79,5;73;46;64,75;259,00
58;79,5;73;44,5;63,75;255,00
85,5;77,5;88;64,5;78,88;315,50
88;81,5;73;72,5;78,75;315,00
65,5;83,5;68;46;65,75;263,00
80,5;91,5;83;66,5;80,38;321,50
68;71,5;78;44,5;65,50;262,00
88;81,5;68;50,5;72,00;288,00
88;93,5;78;54;78,38;313,50
90,5;91,5;90,5;66,5;84,75;339,00
98;89,5;93;78;89,63;358,50
98;95,5;93;72,5;89,75;359,00
90,5;89,5;85,5;75;85,13;340,50
80,5;87,5;75,5;58,5;75,50;302,00
80,5;79,5;68;40,5;67,13;268,50
78;75,5;73;62,5;72,25;289,00
68;85,5;70,5;56;70,00;280,00
78;79,5;80,5;46,5;71,13;284,50
73;85,5;85,5;46;72,50;290,00
73;87,5;85,5;68,5;78,63;314,50
70,5;85,5;73;46,5;68,88;275,50
93;89,5;73;46;75,38;301,50
95,5;93,5;85,5;54,5;82,25;329,00
88;87,5;75,5;44,5;73,88;295,50
88;85,5;85,5;58,5;79,38;317,50
86;83,5;93;88,5;87,75;351,00
93;93,5;83;56;81,38;325,50
93;79,5;73;48,5;73,50;294,00
90,5;79,5;80,5;44,5;73,75;295,00
75,5;73,5;65,5;78;73,13;292,50
73;87,5;68;46,5;68,75;275,00
58;81,5;80,5;58,5;69,63;278,50
75,5;77,5;63;55;67,75;271,00
60,5;79,5;75,5;52,5;67,00;268,00
65,5;75,5;65,5;52,5;64,75;259,00
85,5;83,5;70,5;55;73,63;294,50
83;79,5;80,5;52,5;73,88;295,50
45,5;85,5;48;68;61,75;247,00
90,5;83,5;80,5;52,5;76,75;307,00
88;81,5;78;48;73,88;295,50
48;83,5;68;50,5;62,50;250,00
80,5;79,5;80,5;66;76,63;306,50
80;89,5;83;58,5;77,75;311,00
95,5;87,5;83;64,5;82,63;330,50
68;89,5;63;45;66,38;265,50
83;87,5;88;70,5;82,25;329,00
73;81,5;75,5;56,5;71,63;286,50
50,5;87,5;63;46;61,75;247,00
85,5;87,5;88;76,5;84,38;337,50
83;91,5;60,5;48;70,75;283,00
90,5;81,5;83;66,5;80,38;321,50
88;81,5;80,5;48;74,50;298,00
58;79,5;55,5;68,5;65,38;261,50
60,5;81,5;58;64,5;66,13;264,50
73;85,5;60,5;50;67,25;269,00
75,5;79,5;78;54,5;71,88;287,50
63;87,5;70,5;65;71,50;286,00
63;89,5;75,5;84,5;78,13;312,50
88;89,5;86;70;83,38;333,50
80,5;83,5;80,5;58,5;75,75;303,00
65,5;83,5;68;65;70,50;282,00
70,5;83,5;73;62,5;72,38;289,50
90,5;83,5;75,5;65;78,63;314,50
75,5;85,5;80,5;72,5;78,50;314,00
75,5;89,5;78;74,5;79,38;317,50
80,5;85,5;68;60,5;73,63;294,50
90,5;79,5;80,5;54,5;76,25;305,00
83;79,5;83;55;75,13;300,50
90,5;91,5;83;44,5;77,38;309,50
63;81,5;80,5;44;67,25;269,00
65,5;93,5;75,5;40,5;68,75;275,00
65,5;85,5;63;65;69,75;279,00
73;77,5;68;50,5;67,25;269,00
80,5;91,5;73;55;75,00;300,00
48;73,5;63;64,5;62,25;249,00
88;81,5;75,5;50;73,75;295,00
88;83,5;88;46,5;76,50;306,00
90,5;87,5;80,5;50,5;77,25;309,00
60,5;69,5;73;56;64,75;259,00
70,5;79,5;70,5;48,5;67,25;269,00
45,5;89,5;53;52,5;60,13;240,50
75,5;69,5;65,5;63;68,38;273,50
63;83,5;55,5;52,5;63,63;254,50
83;81,5;53;65;70,63;282,50
60,5;77,5;65,5;58,5;65,50;262,00
73;83,5;68;55;69,88;279,50
85,5;85,5;85,5;62,5;79,75;319,00
60,5;85,5;80,5;55;70,38;281,50
75,5;83,5;85,5;44,5;72,25;289,00
75,5;95,5;83;50,5;76,13;304,50
60,5;81,5;80,5;65;71,88;287,50
98;91,5;88;64,5;85,50;342,00
88;89,5;85,5;68;82,75;331,00
85,5;83,5;88;54,5;77,88;311,50
70,5;93,5;83;65;78,00;312,00
73;79,5;80,5;60,5;73,38;293,50
98;89,5;98;65;87,63;350,50
63;85,5;63;54,5;66,50;266,00
78;79,5;70,5;55;70,75;283,00
60,5;89,5;55,5;52,5;64,50;258,00
68;81,5;70,5;56;69,00;276,00
78;75,5;70,5;52,5;69,13;276,50
60,5;81,5;70,5;68;70,13;280,50
60,5;81,5;63;50,5;63,88;255,50
83;81,5;58;68;72,63;290,50
55,5;83,5;70,5;60;67,38;269,50
85,5;79,5;78;58,5;75,38;301,50
80,5;89,5;75,5;66;77,88;311,50
58;83,5;60,5;46,5;62,13;248,50
85,5;81,5;68;70;76,25;305,00
88;85,5;55,5;64,5;73,38;293,50
50,5;89,5;70,5;60;67,63;270,50
53;85,5;60,5;62,5;65,38;261,50
75,5;81,5;65,5;55;69,38;277,50
75,5;91,5;78;58,5;75,88;303,50
93;83,5;70,5;65;78,00;312,00
68;89,5;70,5;62,5;72,63;290,50
83;85,5;53;55;69,13;276,50
88;79,5;65,5;50,5;70,88;283,50
93;87,5;78;70;82,13;328,50
48;79,5;53;64,5;61,25;245,00
53;79,5;60,5;55;62,00;248,00
50,5;87,5;40,5;68,5;61,75;247,00
53;91,5;78;70,5;73,25;293,00
70,5;71,5;78;55;68,75;275,00
88;83,5;85,5;50;76,75;307,00
88;77,5;73;60,5;74,75;299,00
78;83,5;80,5;55;74,25;297,00
80,5;79,5;63;44,5;66,88;267,50
78;87,5;78;44;71,88;287,50
65,5;85,5;63;44,5;64,63;258,50
63;77,5;73;60,5;68,50;274,00
78;81,5;75,5;56;72,75;291,00
53;83,5;65,5;56,5;64,63;258,50
33;75,5;53;60;55,38;221,50
95,5;79,5;73;52,5;75,13;300,50
55,5;85,5;78;50;67,25;269,00
83;93,5;78;68,5;80,75;323,00
65,5;71,5;65,5;55;64,38;257,50
85,5;87,5;80,5;60,5;78,50;314,00
53;79,5;68;50,5;62,75;251,00
90,5;75,5;78;75;79,75;319,00
93;87,5;83;55;79,63;318,50
95,5;85,5;83;74,5;84,63;338,50
88;83,5;78;60;77,38;309,50
80,5;73,5;55,5;50;64,88;259,50
70,5;79,5;58;38,5;61,63;246,50
55,5;85,5;68;55;66,00;264,00
95,5;87,5;65,5;74,5;80,75;323,00
90,5;85,5;65,5;54;73,88;295,50
95,5;85,5;88;66,5;83,88;335,50
63;73,5;65,5;50;63,00;252,00
85,5;85,5;65,5;66,5;75,75;303,00
65,5;77,5;68;48,5;64,88;259,50
83;79,5;60,5;55;69,50;278,00
48;85,5;73;56,5;65,75;263,00
95,5;77,5;85,5;66;81,13;324,50
70,5;73,5;70,5;46,5;65,25;261,00
90,5;79,5;68;56;73,50;294,00
85,5;69,5;73;55;70,75;283,00
63;79,5;70,5;62,5;68,88;275,50
50,5;83,5;68;60;65,50;262,00
53;81,5;73;54,5;65,50;262,00
75,5;83,5;70,5;55;71,13;284,50
80,5;81,5;65,5;50;69,38;277,50
100,5;85,5;85,5;60;82,88;331,50
95,5;89,5;80,5;88,5;88,50;354,00
75,5;79,5;65,5;60;70,13;280,50
98;85,5;93;64,5;85,25;341,00
88;93,5;90,5;55;81,75;327,00
90;81,5;70,5;45;71,75;287,00
80,5;79,5;70,5;56;71,63;286,50
85,5;81,5;88;58,5;78,38;313,50
83;83,5;80,5;66,5;78,38;313,50
70,5;89,5;70,5;66;74,13;296,50
78;81,5;80,5;55;73,75;295,00
90;87,5;85,5;65;82,00;328,00
83;81,5;73;50;71,88;287,50
53;75,5;55,5;70;63,50;254,00
75,5;89,5;78;70;78,25;313,00
60,5;81,5;78;80,5;75,13;300,50
88;87,5;70,5;52,5;74,63;298,50
70,5;83,5;65,5;58,5;69,50;278,00
75,5;87,5;75,5;65;75,88;303,50
58;83,5;60,5;60;65,50;262,00
60,5;87,5;58;56,5;65,63;262,50
83;87,5;83;70;80,88;323,50
78;87,5;73;70,5;77,25;309,00
40,5;81,5;65,5;60;61,88;247,50
73;89,5;63;48,5;68,50;274,00
68;79,5;85,5;55;72,00;288,00
63;81,5;73;50,5;67,00;268,00
55,5;71,5;73;78,5;69,63;278,50
78;89,5;68;65;75,13;300,50
90,5;77,5;68;66,5;75,63;302,50
75,5;77,5;58;50;65,25;261,00
73;81,5;63;46,5;66,00;264,00
85,5;85,5;65,5;65;75,38;301,50
60,5;89,5;73;54,5;69,38;277,50
95,5;83,5;75,5;66;80,13;320,50
58;75,5;58;54,5;61,50;246,00
68;85,5;58;54,5;66,50;266,00
58;87,5;60,5;66;68,00;272,00
55,5;87,5;53;60,5;64,13;256,50
90,5;79,5;78;64,5;78,13;312,50
63;89,5;68;50;67,63;270,50
55,5;75,5;75,5;76,5;70,75;283,00
55,5;83,5;55,5;55;62,38;249,50
65,5;83,5;50,5;60,5;65,00;260,00
58;75,5;70,5;60;66,00;264,00
53;87,5;63;50,5;63,50;254,00
58;85,5;73;70;71,63;286,50
60,5;81,5;63;50,5;63,88;255,50
60,5;87,5;73;66;71,75;287,00
83;91,5;80,5;72,5;81,88;327,50
73;85,5;78;68;76,13;304,50
98;83,5;95,5;64,5;85,38;341,50
98;79,5;85,5;75;84,50;338,00
88;81,5;65,5;68,5;75,88;303,50
93;77,5;83;65;79,63;318,50
68;75,5;63;68,5;68,75;275,00
73;73,5;65,5;48,5;65,13;260,50
80,5;81,5;68;55;71,25;285,00
60,5;77,5;78;56;68,00;272,00
43;79,5;65,5;76,5;66,13;264,50
88;79,5;93;66;81,63;326,50
95,5;81,5;83;48,5;77,13;308,50
68;79,5;65,5;50;65,75;263,00
65,5;79,5;55,5;74,5;68,75;275,00
68;91,5;83;68;77,63;310,50
60,5;89,5;73;36,5;64,88;259,50
93;87,5;85,5;68;83,50;334,00
73;81,5;58;48,5;65,25;261,00
68;83,5;75,5;45;68,00;272,00
55,5;83,5;73;52,5;66,13;264,50
65,5;91,5;73;56;71,50;286,00
85,5;85,5;88;36,5;73,88;295,50
65,5;83,5;75,5;34,5;64,75;259,00
55,5;89,5;73;44;65,50;262,00
98;79,5;68;62,5;77,00;308,00
55,5;89,5;60,5;50,5;64,00;256,00
80,5;93,5;80,5;66;80,13;320,50
86;87,5;83;54,5;77,75;311,00
75,5;81,5;63;50;67,50;270,00
63;87,5;80,5;64,5;73,88;295,50
45,5;79,5;70,5;68,5;66,00;264,00
60,5;77,5;70,5;65;68,38;273,50
53;91,5;73;52,5;67,50;270,00
60,5;91,5;70,5;68,5;72,75;291,00
83;81,5;60,5;70;73,75;295,00
45,5;85,5;70,5;54,5;64,00;256,00
85,5;75,5;78;65;76,00;304,00
75,5;81,5;78;80,5;78,88;315,50
70,5;91,5;78;70,5;77,63;310,50
63;75,5;68;55;65,38;261,50
65,5;79,5;58;56,5;64,88;259,50
88;89,5;90,5;70;84,50;338,00
65,5;87,5;65,5;62,5;70,25;281,00
70,5;83,5;78;60;73,00;292,00
70,5;79,5;80,5;48,5;69,75;279,00
68;81,5;63;60;68,13;272,50
75,5;79,5;80,5;66,5;75,50;302,00
90,5;91,5;85,5;70;84,38;337,50
98;85,5;83;70,5;84,25;337,00
93;89,5;78;62,5;80,75;323,00
83;85,5;83;65;79,13;316,50
63;81,5;75,5;38,5;64,63;258,50
83;81,5;83;72,5;80,00;320,00
90,5;93,5;95,5;68,5;87,00;348,00
85,5;87,5;83;78,5;83,63;334,50
85,5;83,5;83;58,5;77,63;310,50
78;83,5;60,5;56;69,50;278,00
63;85,5;75,5;54,5;69,63;278,50
85,5;85,5;78;65;78,50;314,00
90;91,5;93;84,5;89,75;359,00
58;69,5;65,5;68,5;65,38;261,50
90,5;91,5;85,5;70;84,38;337,50
88;93,5;83;64,5;82,25;329,00
80,5;77,5;68;55;70,25;281,00
78;81,5;80,5;58,5;74,63;298,50
85,5;89,5;70,5;45;72,63;290,50
65,5;91,5;65,5;66,5;72,25;289,00
60,5;77,5;70,5;77;71,38;285,50
68;87,5;85,5;78,5;79,88;319,50
60,5;83,5;73;48,5;66,38;265,50
88;91,5;78;78;83,88;335,50
73;73,5;65,5;55;66,75;267,00
55,5;89,5;63;68,5;69,13;276,50
73;75,5;63;58;67,38;269,50
73;75,5;60,5;64,5;68,38;273,50
73;75,5;50,5;66;66,25;265,00
58;77,5;70,5;74,5;70,13;280,50
58;77,5;68;55;64,63;258,50
