Mat;Ind;Ipa;Ing;AVG;SUM;JURUSAN;;
65;84;67,5;60;69,125;276,5;LISTRIK;;
70;84;72,5;62;72,125;288,5;LISTRIK;;
90;84;75;64;78,25;313;LISTRIK;;
75;86;80;72;78,25;313;LISTRIK;;
75;90;77,5;74;79,125;316,5;LISTRIK;;
80;86;67,5;60;73,375;293,5;LISTRIK;;
90;80;80;54;76;304;LISTRIK;;
82,5;80;82,5;36;70,25;281;LISTRIK;;
90;92;82,5;44;77,125;308,5;LISTRIK;;
62,5;82;80;44;67,125;268,5;LISTRIK;;
65;94;75;40;68,5;274;LISTRIK;;
65;86;62,5;60;68,375;273,5;LISTRIK;;
72,5;78;67,5;50;67;268;LISTRIK;;
80;92;72,5;52;74,125;296,5;LISTRIK;;
47,5;74;62,5;64;62;248;LISTRIK;;
87,5;82;75;48;73,125;292,5;LISTRIK;;
87,5;84;87,5;46;76,25;305;LISTRIK;;
90;88;80;50;77;308;LISTRIK;;
60;70;72,5;56;64,625;258,5;LISTRIK;;
70;80;70;48;67;268;LISTRIK;;
45;90;52,5;52;59,875;239,5;LISTRIK;;
75;70;65;62;68;272;LISTRIK;;
62,5;84;55;52;63,375;253,5;LISTRIK;;
82,5;82;52,5;62;69,75;279;LISTRIK;;
60;78;65;58;65,25;261;LISTRIK;;
72,5;84;67,5;52;69;276;LISTRIK;;
85;86;85;62;79,5;318;LISTRIK;;
60;86;80;50;69;276;LISTRIK;;
75;84;85;44;72;288;LISTRIK;;
75;96;82,5;50;75,875;303,5;LISTRIK;;
60;82;80;62;71;284;LISTRIK;;
97,5;92;87,5;64;85,25;341;LISTRIK;;
87,5;90;85;58;80,125;320,5;LISTRIK;;
85;84;87,5;54;77,625;310,5;LISTRIK;;
70;94;82,5;64;77,625;310,5;LISTRIK;;
72,5;80;80;60;73,125;292,5;LISTRIK;;
97,5;90;97,5;64;87,25;349;LISTRIK;;
62,5;86;62,5;54;66,25;265;LISTRIK;;
77,5;80;70;54;70,375;281,5;LISTRIK;;
60;90;55;52;64,25;257;LISTRIK;;
67,5;82;70;54;68,375;273,5;LISTRIK;;
77,5;76;70;52;68,875;275,5;LISTRIK;;
60;82;70;56;67;268;LISTRIK;;
60;82;62,5;50;63,625;254,5;LISTRIK;;
82,5;82;57,5;66;72;288;LISTRIK;;
55;84;70;56;66,25;265;LISTRIK;;
85;80;77,5;58;75,125;300,5;LISTRIK;;
80;90;75;56;75,25;301;ELEKTRONIKA;;
57,5;84;60;46;61,875;247,5;ELEKTRONIKA;;
85;82;67,5;46;70,125;280,5;ELEKTRONIKA;;
87,5;86;55;64;73,125;292,5;ELEKTRONIKA;;
50;90;70;62;68;272;ELEKTRONIKA;;
52,5;86;60;62;65,125;260,5;ELEKTRONIKA;;
75;82;65;52;68,5;274;ELEKTRONIKA;;
75;92;77,5;58;75,625;302,5;ELEKTRONIKA;;
92,5;84;70;64;77,625;310,5;ELEKTRONIKA;;
67,5;90;70;62;72,375;289,5;ELEKTRONIKA;;
82,5;86;52,5;54;68,75;275;ELEKTRONIKA;;
87,5;80;65;50;70,625;282,5;ELEKTRONIKA;;
92,5;88;77,5;72;82,5;330;ELEKTRONIKA;;
47,5;80;52,5;64;61;244;ELEKTRONIKA;;
52,5;80;60;56;62,125;248,5;ELEKTRONIKA;;
50;88;40;68;61,5;246;ELEKTRONIKA;;
52,5;92;77,5;70;73;292;ELEKTRONIKA;;
70;72;77,5;46;66,375;265,5;ELEKTRONIKA;;
87,5;84;85;56;78,125;312,5;ELEKTRONIKA;;
87,5;78;72,5;60;74,5;298;ELEKTRONIKA;;
77,5;84;80;50;72,875;291,5;ELEKTRONIKA;;
80;80;62,5;44;66,625;266,5;ELEKTRONIKA;;
77,5;88;77,5;44;71,75;287;ELEKTRONIKA;;
65;86;62,5;44;64,375;257,5;ELEKTRONIKA;;
62,5;78;72,5;60;68,25;273;ELEKTRONIKA;;
77,5;82;75;44;69,625;278,5;ELEKTRONIKA;;
52,5;84;65;56;64,375;257,5;ELEKTRONIKA;;
32,5;76;52,5;46;51,75;207;ELEKTRONIKA;;
95;80;72,5;52;74,875;299,5;ELEKTRONIKA;;
55;86;77,5;44;65,625;262,5;ELEKTRONIKA;;
82,5;94;77,5;68;80,5;322;ELEKTRONIKA;;
65;72;65;40;60,5;242;ELEKTRONIKA;;
85;88;80;60;78,25;313;LAS;;
52,5;80;67,5;50;62,5;250;LAS;;
90;76;77,5;74;79,375;317,5;LAS;;
92,5;88;82,5;52;78,75;315;LAS;;
95;86;82,5;74;84,375;337,5;LAS;;
87,5;84;77,5;56;76,25;305;LAS;;
80;74;55;36;61,25;245;LAS;;
70;80;57,5;38;61,375;245,5;LAS;;
55;86;67,5;54;65,625;262,5;LAS;;
95;88;65;74;80,5;322;LAS;;
90;86;65;48;72,25;289;LAS;;
95;86;87,5;66;83,625;334,5;LAS;;
62,5;74;65;46;61,875;247,5;LAS;;
85;86;65;66;75,5;302;LAS;;
65;78;67,5;48;64,625;258,5;LAS;;
82,5;80;60;52;68,625;274,5;LAS;;
47,5;86;72,5;56;65,5;262;LAS;;
95;78;85;46;76;304;LAS;;
70;74;70;46;65;260;LAS;;
90;80;67,5;48;71,375;285,5;LAS;;
85;70;72,5;38;66,375;265,5;LAS;;
62,5;80;70;62;68,625;274,5;LAS;;
50;84;67,5;58;64,875;259,5;LAS;;
52,5;82;72,5;54;65,25;261;LAS;;
75;84;70;36;66,25;265;LAS;;
80;82;65;44;67,75;271;LAS;;
100;86;85;46;79,25;317;LAS;;
95;90;80;88;88,25;353;LAS;;
75;80;65;58;69,5;278;LAS;;
97,5;86;92,5;64;85;340;LAS;;
87,5;94;90;54;81,375;325,5;LAS;;
95;82;70;42;72,25;289;LAS;;
80;80;70;48;69,5;278;MESIN PRODUKSI;;
85;82;87,5;58;78,125;312,5;MESIN PRODUKSI;;
82,5;84;80;66;78,125;312,5;MESIN PRODUKSI;;
70;90;70;62;73;292;MESIN PRODUKSI;;
77,5;82;80;46;71,375;285,5;MESIN PRODUKSI;;
100;88;85;64;84,25;337;MESIN PRODUKSI;;
82,5;82;72,5;52;72,25;289;MESIN PRODUKSI;;
52,5;76;55;68;62,875;251,5;MESIN PRODUKSI;;
75;90;77,5;60;75,625;302,5;MESIN PRODUKSI;;
60;82;77,5;80;74,875;299,5;MESIN PRODUKSI;;
87,5;88;70;52;74,375;297,5;MESIN PRODUKSI;;
70;84;65;58;69,25;277;MESIN PRODUKSI;;
75;88;75;52;72,5;290;MESIN PRODUKSI;;
57,5;84;60;46;61,875;247,5;MESIN PRODUKSI;;
60;88;57,5;56;65,375;261,5;MESIN PRODUKSI;;
82,5;88;82,5;56;77,25;309;MESIN PRODUKSI;;
77,5;88;72,5;70;77;308;MESIN PRODUKSI;;
40;82;65;58;61,25;245;MESIN PRODUKSI;;
72,5;90;62,5;48;68,25;273;MESIN PRODUKSI;;
67,5;80;85;50;70,625;282,5;MESIN PRODUKSI;;
62,5;82;72,5;50;66,75;267;MESIN PRODUKSI;;
55;72;72,5;78;69,375;277,5;MESIN PRODUKSI;;
77,5;90;67,5;60;73,75;295;MESIN PRODUKSI;;
90;78;67,5;66;75,375;301,5;MESIN PRODUKSI;;
75;78;57,5;38;62,125;248,5;MESIN PRODUKSI;;
72,5;82;62,5;46;65,75;263;MESIN PRODUKSI;;
85;86;65;64;75;300;MESIN PRODUKSI;;
60;90;72,5;54;69,125;276,5;MESIN PRODUKSI;;
95;84;75;56;77,5;310;MESIN PRODUKSI;;
57,5;76;57,5;54;61,25;245;MESIN PRODUKSI;;
67,5;86;57,5;54;66,25;265;MESIN PRODUKSI;;
57,5;88;60;58;65,875;263,5;MESIN PRODUKSI;;
55;88;52,5;60;63,875;255,5;MESIN PRODUKSI;;
90;80;77,5;64;77,875;311,5;MESIN PRODUKSI;;
62,5;90;67,5;46;66,5;266;MESIN PRODUKSI;;
55;76;75;76;70,5;282;MESIN PRODUKSI;;
55;84;55;54;62;248;MESIN PRODUKSI;;
65;84;50;60;64,75;259;MESIN PRODUKSI;;
57,5;76;70;54;64,375;257,5;MESIN PRODUKSI;;
52,5;88;62,5;50;63,25;253;MESIN PRODUKSI;;
57,5;86;72,5;42;64,5;258;MESIN PRODUKSI;;
60;82;62,5;50;63,625;254,5;MESIN PRODUKSI;;
60;88;72,5;60;70,125;280,5;MESIN PRODUKSI;;
82,5;92;80;72;81,625;326,5;MESIN PRODUKSI;;
72,5;86;77,5;60;74;296;MESIN PRODUKSI;;
97,5;84;95;64;85,125;340,5;MESIN PRODUKSI;;
97,5;80;85;70;83,125;332,5;MESIN PRODUKSI;;
87,5;82;65;68;75,625;302,5;MESIN PRODUKSI;;
92,5;78;82,5;62;78,75;315;MESIN PRODUKSI;;
67,5;76;62,5;68;68,5;274;MESIN PRODUKSI;;
72,5;74;65;48;64,875;259,5;MESIN PRODUKSI;;
80;82;67,5;50;69,875;279,5;MESIN PRODUKSI;;
60;78;77,5;52;66,875;267,5;MESIN PRODUKSI;;
42,5;80;65;76;65,875;263,5;MESIN PRODUKSI;;
87,5;80;92,5;56;79;316;MESIN PRODUKSI;;
95;82;82,5;48;76,875;307,5;MESIN PRODUKSI;;
67,5;80;65;44;64,125;256,5;MESIN PRODUKSI;;
65;80;55;74;68,5;274;MESIN PRODUKSI;;
67,5;92;82,5;68;77,5;310;MESIN PRODUKSI;;
60;90;72,5;36;64,625;258,5;MESIN PRODUKSI;;
92,5;88;85;62;81,875;327,5;MESIN PRODUKSI;;
72,5;82;57,5;48;65;260;MESIN PRODUKSI;;
67,5;84;75;32;64,625;258,5;MESIN PRODUKSI;;
55;84;72,5;52;65,875;263,5;MESIN PRODUKSI;;
