Mat;Ind;Ipa;Ing;Rata;Jumlah
90;92;85;68;83.75;335.00
97.5;86;82.5;70;84.00;336.00
92.5;90;77.5;62;80.50;322.00
82.5;86;82.5;64;78.75;315.00
62.5;82;75;38;64.38;257.50
82.5;82;82.5;72;79.75;319.00
90;94;95;68;86.75;347.00
85;88;82.5;78;83.38;333.50
85;84;82.5;58;77.38;309.50
77.5;84;60;56;69.38;277.50
62.5;86;75;54;69.38;277.50
85;86;77.5;64;78.13;312.50
100;92;92.5;84;92.13;368.50
57.5;70;65;68;65.13;260.50
90;92;85;70;84.25;337.00
87.5;94;82.5;64;82.00;328.00
80;78;67.5;50;68.88;275.50
77.5;82;80;58;74.38;297.50
85;90;70;40;71.25;285.00
65;92;65;66;72.00;288.00
60;78;70;76;71.00;284.00
67.5;88;85;78;79.63;318.50
60;84;72.5;48;66.13;264.50
100;92;77.5;78;86.88;347.50
72.5;74;65;40;62.88;251.50
55;90;62.5;68;68.88;275.50
72.5;76;62.5;58;67.25;269.00
72.5;76;60;64;68.13;272.50
72.5;76;50;62;65.13;260.50
57.5;78;70;74;69.88;279.50
57.5;78;67.5;54;64.25;257.00
65;80;82.5;78;76.38;305.50
87.5;88;72.5;56;76.00;304.00
55;90;60;62;66.75;267.00
57.5;88;65;70;70.13;280.50
37.5;84;57.5;86;66.25;265.00
62.5;80;75;40;64.38;257.50
92.5;82;60;48;70.63;282.50
62.5;84;75;44;66.38;265.50
82.5;80;60;52;68.63;274.50
82.5;92;67.5;68;77.50;310.00
52.5;74;77.5;52;64.00;256.00
80;82;70;66;74.50;298.00
85;84;70;48;71.75;287.00
72.5;86;77.5;38;68.50;274.00
75;90;70;74;77.25;309.00
67.5;84;67.5;38;64.25;257.00
72.5;70;72.5;38;63.25;253.00
97.5;94;80;56;81.88;327.50
62.5;80;67.5;60;67.50;270.00
82.5;78;77.5;56;73.50;294.00
72.5;86;75;66;74.88;299.50
97.5;88;77.5;64;81.75;327.00
70;80;70;46;66.50;266.00
57.5;80;60;48;61.38;245.50
60;84;75;44;65.75;263.00
50;88;52.5;56;61.63;246.50
52.5;84;62.5;76;68.75;275.00
82.5;80;67.5;60;72.50;290.00
67.5;86;87.5;38;69.75;279.00
75;80;72.5;52;69.88;279.50
50;82;72.5;48;63.13;252.50
65;80;65;50;65.00;260.00
47.5;80;62.5;60;62.50;250.00
70;82;72.5;52;69.13;276.50
85;74;67.5;60;71.63;286.50
77.5;84;62.5;46;67.50;270.00
47.5;78;67.5;72;66.25;265.00
80;74;77.5;54;71.38;285.50
95;78;75;44;73.00;292.00
65;90;70;58;70.75;283.00
85;84;75;74;79.50;318.00
92.5;98;70;68;82.13;328.50
97.5;86;90;70;85.88;343.50
70;80;67.5;64;70.38;281.50
80;84;80;42;71.50;286.00
70;86;67.5;64;71.88;287.50
60;80;57.5;62;64.88;259.50
77.5;84;60;50;67.88;271.50
62.5;88;77.5;44;68.00;272.00
87.5;80;72.5;64;76.00;304.00
75;84;70;68;74.25;297.00
80;86;65;42;68.25;273.00
75;90;75;50;72.50;290.00
90;90;92.5;60;83.13;332.50
87.5;80;75;58;75.13;300.50
62.5;82;57.5;52;63.50;254.00
85;76;72.5;58;72.88;291.50
62.5;86;75;60;70.88;283.50
77.5;80;77.5;64;74.75;299.00
55;76;62.5;56;62.38;249.50
77.5;90;82.5;64;78.50;314.00
52.5;80;57.5;64;63.50;254.00
92.5;82;75;48;74.38;297.50
85;80;82.5;38;71.38;285.50
95;98;100;44;84.25;337.00
67.5;86;57.5;50;65.25;261.00
67.5;86;75;56;71.13;284.50
52.5;72;70;50;61.13;244.50
80;86;77.5;44;71.88;287.50
60;78;72.5;52;65.63;262.50
72.5;70;72.5;38;63.25;253.00
55;70;80;50;63.75;255.00
75;78;65;52;67.50;270.00
82.5;74;57.5;50;66.00;264.00
82.5;70;60;54;66.63;266.50
77.5;84;65;46;68.13;272.50
85;86;80;50;75.25;301.00
62.5;86;72.5;70;72.75;291.00
77.5;78;65;54;68.63;274.50
85;80;85;56;76.50;306.00
95;86;90;60;82.75;331.00
57.5;80;55;54;61.63;246.50
90;82;62.5;74;77.13;308.50
62.5;78;70;62;68.13;272.50
97.5;84;85;84;87.63;350.50
62.5;74;70;38;61.13;244.50
85;80;57.5;58;70.13;280.50
75;88;62.5;66;72.88;291.50
65;84;65;50;66.00;264.00
60;90;52.5;64;66.63;266.50
80;82;80;56;74.50;298.00
90;98;80;74;85.50;342.00
92.5;96;72.5;66;81.75;327.00
85;82;77.5;42;71.63;286.50
65;76;60;72;68.25;273.00
62.5;74;62.5;62;65.25;261.00
57.5;88;70;54;67.38;269.50
57.5;80;65;50;63.13;252.50
60;76;67.5;64;66.88;267.50
77.5;74;70;48;67.38;269.50
70;82;72.5;70;73.63;294.50
87.5;94;70;66;79.38;317.50
75;70;70;48;65.75;263.00
90;86;75;52;75.75;303.00
90;80;77.5;64;77.88;311.50
77.5;86;77.5;56;74.25;297.00
72.5;84;82.5;52;72.75;291.00
92.5;88;80;66;81.63;326.50
60;82;72.5;72;71.63;286.50
85;84;82.5;72;80.88;323.50
75;80;60;70;71.25;285.00
87.5;80;95;80;85.63;342.50
97.5;86;80;58;80.38;321.50
85.5;90;90;90;88.88;355.50
62.5;82;65;44;63.38;253.50
47.5;86;55;72;65.13;260.50
52.5;84;57.5;48;60.50;242.00
